t_unix,sim_time_s,real_time_s,rtf,iterations,paused
1777904675,2.739000,19.941448,0.08201979318052992,2739,
1777904676,2.746000,20.048440,0.060570690993471385,2746,
1777904676,2.753000,20.153051,0.06865598763972523,2753,
1777904676,2.761000,20.264621,0.06456237652041975,2761,
1777904676,2.769000,20.376028,0.06887942745766791,2769,
1777904676,2.776000,20.477155,0.07084626070956355,2776,
1777904676,2.784000,20.587924,0.0762539717834378,2784,
1777904676,2.792000,20.693169,0.06649640926039635,2792,
1777904676,2.800000,20.807231,0.07069336547713533,2800,
1777904676,2.807000,20.908417,0.06586305398155663,2807,
1777904676,2.814000,21.012140,0.07180717475748025,2814,
1777904677,2.822000,21.123374,0.06803538438699507,2822,
1777904677,2.829000,21.229858,0.07694053650636105,2829,
1777904677,2.836000,21.330503,0.06824854509457781,2836,
1777904677,2.843000,21.439007,0.07292418393462727,2843,
1777904677,2.850000,21.540496,0.06837633019312758,2850,
1777904677,2.858000,21.650309,0.08448509754691605,2858,
1777904677,2.865000,21.750627,0.07820943563993032,2865,
1777904677,2.872000,21.861639,0.06387906925640931,2872,
1777904677,2.879000,21.963803,0.0731565821537444,2879,
1777904678,2.887000,22.075836,0.06329059846640551,2887,
1777904678,2.894000,22.184949,0.06937421750218546,2894,
1777904678,2.901000,22.292635,0.06308486769399953,2901,
1777904678,2.908000,22.407550,0.06029108899513384,2908,
1777904678,2.916000,22.519683,0.08131880892665841,2916,
1777904678,2.924000,22.627421,0.0811692857695388,2924,
1777904678,2.932000,22.728764,0.07288312600391951,2932,
1777904678,2.939000,22.829391,0.06550136678427,2939,
1777904678,2.946000,22.933031,0.06744299397794762,2946,
1777904678,2.954000,23.043949,0.06284349073721511,2954,
1777904679,2.962000,23.151322,0.06957611240549738,2962,
1777904679,2.969000,23.253710,0.07685913012681142,2969,
1777904679,2.977000,23.362269,0.07473683478892039,2977,
1777904679,2.986000,23.474129,0.07847964214538856,2986,
1777904679,2.994000,23.576062,0.07118940553571665,2994,
1777904679,3.002000,23.678038,0.07133150962440393,3002,
1777904679,3.010000,23.785823,0.07715196305840566,3010,
1777904679,3.018000,23.887345,0.07706392012910364,3018,
1777904679,3.027000,23.997750,0.07866389685841568,3027,
1777904680,3.036000,24.109947,0.08052302604243498,3036,
1777904680,3.044000,24.215635,0.0798933072817237,3044,
1777904680,3.052000,24.316266,0.0827566984513077,3052,
1777904680,3.060000,24.421907,0.07878777755752217,3060,
1777904680,3.068000,24.525401,0.08118017794370284,3068,
1777904680,3.075000,24.626558,0.0745704926052171,3075,
1777904680,3.083000,24.741708,0.06437985142417889,3083,
1777904680,3.091000,24.842855,0.08118255708331205,3091,
1777904680,3.099000,24.951078,0.07341934752519531,3099,
1777904681,3.106000,25.060222,0.06331111429777053,3106,
1777904681,3.114000,25.172293,0.0665514350752151,3114,
1777904681,3.121000,25.276536,0.0708143379772904,3121,
1777904681,3.129000,25.381849,0.06491310828694372,3129,
1777904681,3.137000,25.483659,0.07902019384759834,3137,
1777904681,3.144000,25.586008,0.07186353574488674,3144,
1777904681,3.152000,25.689409,0.07917640074533497,3152,
1777904681,3.160000,25.793393,0.07528266759615666,3160,
1777904681,3.169000,25.904777,0.07991614558675872,3169,
1777904681,3.177000,26.014664,0.06559378842566119,3177,
1777904682,3.185000,26.119959,0.08217098368363646,3185,
1777904682,3.194000,26.230329,0.08362268174929953,3194,
1777904682,3.203000,26.341983,0.07594802117430831,3203,
1777904682,3.211000,26.447962,0.08374722608250408,3211,
1777904682,3.219000,26.548305,0.08058759315321362,3219,
1777904682,3.227000,26.652230,0.08281018002105035,3227,
1777904682,3.235000,26.765805,0.06742691411355219,3235,
1777904682,3.242000,26.875545,0.0706375818777871,3242,
1777904682,3.249000,26.981160,0.05684690565522681,3249,
1777904683,3.256000,27.085665,0.07607363288644892,3256,
1777904683,3.264000,27.197672,0.05852915530371891,3264,
1777904683,3.271000,27.313910,0.05056382201008789,3271,
